newspaper name,Language,Image,English Article ,On Process ,Translate Article ,Publish URL,Update 
Business Standard,English,https://drive.google.com/file/d/1I3onTmCQBLdnd0ysUOPbVjZjLJ8ZtXqX/view?usp=drive_link,https://docs.google.com/document/d/1m1CIrczmHGV0lLDVlBgSvh_uKTGTNpageKfe98t6ZOQ/edit?usp=sharing,Done,,https://www.business-standard.com/content/press-releases-ani/india-s-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness-125101100454_1.html,
Times of India,English,https://drive.google.com/file/d/1gjG993v4rXbYvhb8WL9pp0Cye5PSaGUM/view?usp=sharing,https://docs.google.com/document/d/1hnmV0ACjeCdG_z2hu2N2LKwnLSspxeyyaY9mlccV4X0/edit?usp=sharing,,,https://timesofindia.indiatimes.com/indias-plumbing-industrys-need-for-stronger-standards-and-consumer-awareness/articleshow/124558946.cms,
Dainik Bhaskar,Hindi,https://drive.google.com/file/d/1uOjyH8VXBxg0Akt2cSmUH66TWb9PYaI4/view?usp=drive_link,https://docs.google.com/document/d/1VHfJv87mEQRfHUm6cefwAFmjCDhjYMdXqIwA5dkSaKc/edit?usp=sharing,Done ,https://docs.google.com/document/d/1c9tQHJvX7uYrTMhoagOSkK7YqKBAvxSosiC4vzHIyFE/edit?usp=sharing,"https://www.bhaskarhindi.com/lifestyle/homes-that-last-a-lifetime-the-importance-of-plumbing-1190864#:~:text=%E0%A4%AA%E0%A5%8D%E0%A4%B2%E0%A4%82%E0%A4%AC%E0%A4%BF%E0%A4%82%E0%A4%97%20%E2%80%94%20%E0%A4%86%E0%A4%B0%E0%A4%BE%E0%A4%AE%20%E0%A4%95%E0%A5%80%20%E0%A4%85%E0%A4%A6%E0%A5%83%E0%A4%B6%E0%A5%8D%E0%A4%AF%20%E0%A4%A8%E0%A5%80%E0%A4%82%E0%A4%B5&text=%E0%A4%AF%E0%A4%B9%20%E0%A4%A6%E0%A5%80%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%8B%E0%A4%82%20%E0%A4%95%E0%A5%87%20%E0%A4%85%E0%A4%82%E0%A4%A6%E0%A4%B0%20%E0%A4%9B%E0%A4%BF%E0%A4%AA%E0%A4%BE,%E0%A4%87%E0%A4%B8%E0%A4%95%E0%A4%BE%20%E0%A4%8F%E0%A4%B9%E0%A4%B8%E0%A4%BE%E0%A4%B8%20%E0%A4%AD%E0%A5%80%20%E0%A4%A8%E0%A4%B9%E0%A5%80%E0%A4%82%20%E0%A4%B9%E0%A5%8B%E0%A4%A4%E0%A4%BE%E0%A5%A4",
Amar Ujala,Hindi,https://drive.google.com/file/d/1mBNOt3stN_AJWJPVPRhGn6BNCsGXIp_D/view?usp=drive_link,https://docs.google.com/document/d/1L6kmDfaA56d1CPaOYIV2QUt90mh67S7fjsWWzO0rGX0/edit?usp=sharing,,,,
Prabhat Khabar,Hindi,,https://docs.google.com/document/d/1laYg9x00xvKD6jqq_Pd0fBIOobMNAaWcZBu-sz1Ebwo/edit?usp=sharing,,,,
Dainik Jagran,Hindi,,https://docs.google.com/document/d/1TfbnOmu0T2vLCTnazu9JdpwqOzwgiYqFlPldXZVt9pE/edit?usp=sharing,,https://docs.google.com/document/d/12ZhpRPenXUXPwNvczFQ0eE3uvAZSGQzMhOnRIYqUL2M/edit?usp=sharing,https://www.dainikjagranmpcg.com/top-news/which-system-does-the-report-to-report-from-indias-top/article-34898,
Daily Sakal,Marathi,,https://docs.google.com/document/d/1gQNmGoQNSOKK2676MHy8AzbgtAbcBsDdWqRiClPvlGY/edit?usp=sharing,Radha ,,,
Lokmat,Marathi,,https://docs.google.com/document/d/1klLQ0bDRrmKvANfnXaIyUmMt7NLEAOml1q0XCa_Gm7Y/edit?usp=sharing,Done,https://docs.google.com/document/d/1y7L3IadBxcwHBhABwgBc0pK4CI1cJ7v3wKZ_j-BpXAk/edit?usp=sharing,https://www.lokmat.com/real-estate/the-hidden-cost-of-poor-plumbing-in-construction-projects-a-a1013/ ,
Gujrat Samachar,Gujrati,,https://docs.google.com/document/d/1TZMTUCVp-w8x-YIfQoK0ZJpoaWJbUJBDPo7pTUBpVss/edit?usp=sharing,Radha ,,,
Divya Bhaskar,Gujrati,,,,,,  
ABV Ananda ,Bengali,,https://docs.google.com/document/d/1x5_k4XJOZKKRExi9ClarmSPR-XfAsEvTyINuDVg6g20/edit?usp=sharing,Radha,https://docs.google.com/document/d/1A7nzUUMTguTwavYzRL0y6NICm7zSTZrhDiYpboF5u54/edit?tab=t.0,https://bengali.abplive.com/brand-wire/what-do-homeowners-really-want-in-plumbing-a-new-survey-reveals-all-1155845 ,
Bartaman,Bengali,,https://docs.google.com/document/d/1rEhjWmbl7hyn_kQkKaaSfrSnVX8DwKterTNuNHZUwEE/edit?usp=sharing,,,,
Punjab Kesari,Hindi,,https://docs.google.com/document/d/1twhx3YnABMzk8UF7tIjT25OcXLRWSJhA2WIyHhIIPLA/edit?usp=sharing,Radha,https://docs.google.com/document/d/1VMYW-rO3fA14sRkt80k59riIz74rV65RjM27Y9V7LDg/edit?usp=sharing,https://m.haryana.punjabkesari.in/gurgaon/news/small-plumbing-mistakes-can-cause-significant-damage-civil-engineer-warns-2230464,
Dina Thanthi,Tamil,,https://docs.google.com/document/d/1f2lyznh11eNNfvR9XgVI5PQ_kFDKp6hn3dr6FLg0SbI/edit?usp=sharing,,,,
Maalai Malar,Tamil,,https://docs.google.com/document/d/1pbvjNPmlJM8eHkPvn69fCDjqwqkpMORzlwWoNksSMPo/edit?usp=sharing,Radha,https://docs.google.com/document/d/1ykYgT6P_CxC5MhWGRNCLSi_CMk0IXuumiYqLnvVf8Bk/edit?tab=t.0,,
Vijayavani,Kannada,,https://docs.google.com/document/d/1xY4DLNjy9bbpfJMTsvPr3jggSkyQMBGCYsv4aO_J2Fg/edit?usp=sharing,, ,,
Vijayakarnataka,Kannada,,https://docs.google.com/document/d/1vPlBHcp2RIn8ijY1k2u4QGdPDXbFydMlUiazmUDLVP8/edit?usp=sharing,,,,
Malyala Manorama,Malayalam,,https://docs.google.com/document/d/1svcxK16qqad12qUJbWc7i-MvL2_GPlwqqOjVvEUwgMo/edit?usp=sharing,,,,
Mathrubhumi,Malayalam,,https://docs.google.com/document/d/1FXp8NElSe2ryOhJkLKTbZTBlpFYtyRvBAjHKsupvyEQ/edit?usp=sharing,,,,
tribune,English,,,,,https://www.tribuneindia.com/news/business/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness/,done
ANI,English,,,,,https://www.aninews.in/news/business/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness20251011123419/,done 
Lokmat English,English,,,,,https://www.lokmattimes.com/business/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness/,
The Hindustan Express,English,,,,,https://thehindustanexpress.co.in/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness/,
News Eagle India,English,,,,,https://newseagleindia.in/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness/,
Rabale,English,,,,,https://rabale.com/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness/,
India Times News,English,,,,,https://indiatimesnews.co.in/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness/,
Punjab News Update,English,,,,,https://panjabnewsupdate.in/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness/,
India state News,English,,,,,https://indiastatenews.co.in/indias-plumbing-industry-faces-urgent-need-for-standards-and-consumer-awareness/,
